Game,Players
Amazons,2
Backgammon,2
Bargaining,2
Battleship,2
Block Dominoes,2
Breakthrough,2
Bridge,4
Bridge bidding (Uncontested),2
Checkers,2
Clobber,2
Coin Game,2
Colored Trails,3
Connect Four,2
Cooperative Box-Pushing,2
Chess,2
Crazy Eights,2
Cribbage,2-4
Dark Hex,2
Dots and Boxes,2
Dou Dizhu,3
Euchre,4
EinStein würfelt nicht!,2
First-price Sealed-Bid Auction,2-10
Gin Rummy,2
Go,2
Goofspiel,2-10
Hanabi,2-5
Havannah,2
Hearts,3-6
Hex,2
Hive,2
Kriegspiel,2
Kuhn poker,2
Laser Tag,2
Leduc poker,2
Lewis Signaling,2
Liar's Dice,2
Liar's Poker,2+
Mensch ärgere Dich nicht,2-4
Mancala,2
Markov Soccer,2
Matching Pennies,3
m,n,k-game,2
Negotiation,2
Nim,2
Nine men's morris,2
Oh Hell,3-7
Oshi-Zumo,2
Oware,2
Pentago,2
Phantom Go,2
Phantom Tic-Tac-Toe,2
Pig,2-10
Prisoner's Dilemma,2
Poker (Hold 'em),2-10
Quoridor,2-4
Reconnaissance Blind Chess,2
Sheriff,2
Slovenian Tarok,3-4
Skat,3
Spades,4
Team Dominoes,4
Tic-Tac-Toe,2
Tiny Bridge,2,4
Tiny Hanabi,2-10
Trade Comm,2
TwixT,2
Ultimate Tic-Tac-Toe,2
Y,2

